"Time period","Coal","Nuclear","CCGT","Hydro","Geothermal","Diesel"
"t104",5850.00,11170.00,19800.00,703.20,0.00,1190.00
"t105",5850.00,11170.00,19800.00,703.20,0.00,1190.00
"t106",5850.00,11170.00,19800.00,703.20,0.00,0.00
"t107",4566.20,11170.00,19800.00,703.20,0.00,0.00
"t108",2428.00,11170.00,19800.00,703.20,0.00,0.00
"t109",510.40,11170.00,19800.00,703.20,0.00,0.00
"t110",0.00,11170.00,18618.10,703.20,0.00,0.00
"t111",0.00,11170.00,17256.30,703.20,0.00,0.00
"t112",0.00,11170.00,16559.20,703.20,0.00,0.00
"t113",0.00,11170.00,16976.90,703.20,0.00,0.00
"t114",0.00,11170.00,19442.50,703.20,0.00,0.00
"t115",1313.30,11170.00,19800.00,703.20,0.00,0.00
"t116",1211.70,11170.00,19800.00,703.20,0.00,0.00
"t117",1190.80,11170.00,19800.00,703.20,0.00,0.00
"t118",792.30,11170.00,19800.00,703.20,0.00,0.00
"t119",30.80,11170.00,19800.00,703.20,0.00,0.00
"t120",0.00,11170.00,19352.60,703.20,0.00,0.00
"t121",0.00,11170.00,19224.40,703.20,0.00,0.00
"t122",0.00,11170.00,19725.80,703.20,0.00,0.00
"t123",388.80,11170.00,19800.00,703.20,0.00,0.00
"t124",1166.20,11170.00,19800.00,703.20,0.00,0.00
"t125",2178.40,11170.00,19800.00,703.20,0.00,0.00
"t126",2428.60,11170.00,19800.00,703.20,0.00,0.00
"t127",3410.80,11170.00,19800.00,703.20,0.00,0.00
"t128",4575.40,11170.00,19800.00,703.20,0.00,0.00
"t129",3464.00,11170.00,19800.00,703.20,0.00,0.00
"t130",875.40,11170.00,19800.00,703.20,0.00,0.00
"t131",0.00,11170.00,19115.60,703.20,0.00,0.00
"t132",0.00,11170.00,18082.40,703.20,0.00,0.00
"t133",0.00,11170.00,16804.80,703.20,0.00,0.00
"t134",0.00,11170.00,15124.90,703.20,0.00,0.00
"t135",0.00,11170.00,13987.10,703.20,0.00,0.00
"t136",0.00,11170.00,10085.50,703.20,0.00,0.00
"t137",0.00,11170.00,7317.70,703.20,0.00,0.00
"t138",0.00,11170.00,8412.00,703.20,0.00,0.00
"t139",0.00,11170.00,10394.30,703.20,0.00,0.00
"t140",0.00,11170.00,11732.70,703.20,0.00,0.00
"t141",0.00,11170.00,13863.90,703.20,0.00,0.00
"t142",0.00,11170.00,17024.80,703.20,0.00,0.00
"t143",0.00,11170.00,18087.40,703.20,0.00,0.00
"t144",0.00,11170.00,17730.60,703.20,0.00,0.00
"t145",0.00,11170.00,17642.60,703.20,0.00,0.00
"t146",0.00,11170.00,18042.20,703.20,0.00,0.00
"t147",0.00,11170.00,18819.80,703.20,0.00,0.00
"t148",70.60,11170.00,19800.00,703.20,0.00,0.00
"t149",971.60,11170.00,19800.00,703.20,0.00,0.00
"t150",2147.60,11170.00,19800.00,703.20,0.00,0.00
"t151",3409.80,11170.00,19800.00,703.20,0.00,0.00
"t152",4164.80,11170.00,19800.00,703.20,0.00,0.00
"t153",4072.20,11170.00,19800.00,703.20,0.00,0.00
"t154",2546.40,11170.00,19800.00,703.20,0.00,0.00
"t155",730.60,11170.00,19800.00,703.20,0.00,0.00
"t156",0.00,11170.00,18916.20,703.20,0.00,0.00
"t157",0.00,11170.00,16979.10,703.20,0.00,0.00
"t158",0.00,11170.00,11924.20,703.20,0.00,0.00
"t159",0.00,11170.00,8695.80,703.20,0.00,0.00
"t160",0.00,11170.00,7380.30,703.20,0.00,0.00
"t161",0.00,11170.00,7976.50,703.20,0.00,0.00
"t162",0.00,11170.00,10843.60,703.20,0.00,0.00
"t163",0.00,11170.00,13590.00,703.20,0.00,0.00
"t164",0.00,11170.00,15163.60,703.20,0.00,0.00
"t165",0.00,11170.00,17484.40,703.20,0.00,0.00
"t166",277.90,11170.00,19800.00,703.20,0.00,0.00
"t167",1475.20,11170.00,19800.00,703.20,0.00,0.00
"t168",737.40,11170.00,19800.00,703.20,0.00,0.00
"t169",349.20,11170.00,19800.00,703.20,0.00,0.00
"t170",225.80,11170.00,19800.00,703.20,0.00,0.00
"t171",364.60,11170.00,19800.00,703.20,0.00,0.00
"t172",783.80,11170.00,19800.00,703.20,0.00,0.00
"t173",1506.80,11170.00,19800.00,703.20,0.00,0.00
"t174",2724.20,11170.00,19800.00,703.20,0.00,0.00
"t175",4920.40,11170.00,19800.00,703.20,0.00,0.00
"t176",5831.00,11170.00,19800.00,703.20,0.00,0.00
"t177",5123.40,11170.00,19800.00,703.20,0.00,0.00
"t178",2658.20,11170.00,19800.00,703.20,0.00,0.00
"t179",323.40,11170.00,19800.00,703.20,0.00,0.00
"t180",0.00,11170.00,18242.20,703.20,0.00,0.00
"t181",0.00,11170.00,16413.30,703.20,0.00,0.00
"t182",0.00,11170.00,12300.90,703.20,0.00,0.00
"t183",0.00,11170.00,9541.40,703.20,0.00,0.00
"t184",0.00,11170.00,7887.40,703.20,0.00,0.00
"t185",0.00,11170.00,7602.20,703.20,0.00,0.00
"t186",0.00,11170.00,9128.70,703.20,0.00,0.00
"t187",0.00,11170.00,10450.00,703.20,0.00,0.00
"t188",0.00,11170.00,11283.80,703.20,0.00,0.00
"t189",0.00,11170.00,12253.20,703.20,0.00,0.00
"t190",0.00,11170.00,13162.60,703.20,0.00,0.00
"t191",0.00,11170.00,13887.60,703.20,0.00,0.00
"t192",0.00,11170.00,12210.80,703.20,0.00,0.00
"t193",0.00,11170.00,11072.60,703.20,0.00,0.00
"t194",0.00,11170.00,10452.20,703.20,0.00,0.00
"t195",0.00,11170.00,10175.60,703.20,0.00,0.00
"t196",0.00,11170.00,10588.80,703.20,0.00,0.00
"t197",0.00,11170.00,11666.20,703.20,0.00,0.00
"t198",0.00,11170.00,13834.40,703.20,0.00,0.00
"t199",0.00,11170.00,17094.40,703.20,0.00,0.00
"t200",0.00,11170.00,18719.80,703.20,0.00,0.00
"t201",0.00,11170.00,17831.40,703.20,0.00,0.00
"t202",0.00,11170.00,15269.80,703.20,0.00,0.00
"t203",0.00,11170.00,13252.80,703.20,0.00,0.00
"t204",0.00,11170.00,11276.40,703.20,0.00,0.00
"t205",0.00,11170.00,9751.40,703.20,0.00,0.00
"t206",0.00,11170.00,5967.30,703.20,0.00,0.00
"t207",0.00,11170.00,3409.20,703.20,0.00,0.00
"t208",0.00,11170.00,2082.00,703.20,0.00,0.00
"t209",0.00,11170.00,1788.90,703.20,0.00,0.00
"t210",0.00,11170.00,3223.90,703.20,0.00,0.00
"t211",0.00,11170.00,5273.00,703.20,0.00,0.00
"t212",0.00,11170.00,6994.00,703.20,0.00,0.00
"t213",0.00,11170.00,9473.10,703.20,0.00,0.00
"t214",0.00,11170.00,9256.40,703.20,0.00,0.00
"t215",0.00,11170.00,7305.80,703.20,0.00,0.00
"t216",0.00,11170.00,5376.60,703.20,0.00,0.00
"t217",0.00,11170.00,4354.20,703.20,0.00,0.00
"t218",0.00,11170.00,4143.40,703.20,0.00,0.00
"t219",0.00,11170.00,4569.20,703.20,0.00,0.00
"t220",0.00,11170.00,5705.80,703.20,0.00,0.00
"t221",0.00,11170.00,7101.20,703.20,0.00,0.00
"t222",0.00,11170.00,9277.60,703.20,0.00,0.00
"t223",0.00,11170.00,12195.20,703.20,0.00,0.00
"t224",0.00,11170.00,13341.20,703.20,0.00,0.00
"t225",0.00,11170.00,12838.00,703.20,0.00,0.00
"t226",0.00,11170.00,12093.20,703.20,0.00,0.00
"t227",0.00,11170.00,11240.00,703.20,0.00,0.00
"t228",0.00,11170.00,10271.60,703.20,0.00,0.00
"t229",0.00,11170.00,9300.00,703.20,0.00,0.00
"t230",0.00,11170.00,8661.80,703.20,0.00,0.00
"t231",0.00,11170.00,7972.80,703.20,0.00,0.00
"t232",0.00,11170.00,7046.70,703.20,0.00,0.00
"t233",0.00,11170.00,6530.50,703.20,0.00,0.00
"t234",0.00,11170.00,7038.30,703.20,0.00,0.00
"t235",0.00,11170.00,7910.10,703.20,0.00,0.00
"t236",0.00,11170.00,8621.90,703.20,0.00,0.00
"t237",0.00,11170.00,9224.60,703.20,0.00,0.00
"t238",0.00,11170.00,8904.60,703.20,0.00,0.00
"t239",0.00,11170.00,7945.20,703.20,0.00,0.00
"t240",0.00,11170.00,5779.80,703.20,0.00,0.00
"t241",0.00,11170.00,3248.60,703.20,0.00,0.00
"t242",0.00,11170.00,2393.60,703.20,0.00,0.00
"t243",0.00,11170.00,2390.80,703.20,0.00,0.00
"t244",0.00,11170.00,2523.40,703.20,0.00,0.00
"t245",0.00,11170.00,3164.20,703.20,0.00,0.00
"t246",0.00,11170.00,4501.00,703.20,0.00,0.00
"t247",0.00,11170.00,6745.20,703.20,0.00,0.00
"t248",0.00,11170.00,7410.00,703.20,0.00,0.00
"t249",0.00,11170.00,7219.20,703.20,0.00,0.00
"t250",0.00,11170.00,7261.40,703.20,0.00,0.00
"t251",0.00,11170.00,6857.80,703.20,0.00,0.00
"t252",0.00,11170.00,6201.00,703.20,0.00,0.00
"t253",0.00,11170.00,5516.50,703.20,0.00,0.00
"t254",0.00,11170.00,3844.10,703.20,0.00,0.00
"t255",0.00,11170.00,2431.70,703.20,0.00,0.00
"t256",0.00,11170.00,2331.80,703.20,0.00,0.00
"t257",0.00,11170.00,1882.40,703.20,0.00,0.00
"t258",0.00,11170.00,2428.20,703.20,0.00,0.00
"t259",0.00,11170.00,2288.00,703.20,0.00,0.00
"t260",0.00,11170.00,3215.70,703.20,0.00,0.00
"t261",0.00,11170.00,3687.10,703.20,0.00,0.00
"t262",0.00,11170.00,4084.70,703.20,0.00,0.00
"t263",0.00,11170.00,4399.40,703.20,0.00,0.00
"t264",0.00,11170.00,3527.60,703.20,0.00,0.00
"t265",0.00,11170.00,2954.40,703.20,0.00,0.00
"t266",0.00,11170.00,910.20,703.20,0.00,0.00
"t267",0.00,11170.00,226.60,703.20,0.00,0.00
"t268",0.00,11170.00,657.20,703.20,0.00,0.00
"t269",0.00,11170.00,1273.20,703.20,0.00,0.00
"t270",0.00,11170.00,2844.60,703.20,0.00,0.00
"t271",0.00,11170.00,4927.20,703.20,0.00,0.00
"t272",0.00,11170.00,5926.20,703.20,0.00,0.00
"t273",0.00,11170.00,5846.20,703.20,0.00,0.00
"t274",0.00,11170.00,6169.80,703.20,0.00,0.00
"t275",0.00,11170.00,6296.40,703.20,0.00,0.00
"t276",0.00,11170.00,6320.00,703.20,0.00,0.00
"t277",0.00,11170.00,5889.50,703.20,0.00,0.00
"t278",0.00,11170.00,3951.70,703.20,0.00,0.00
"t279",0.00,11170.00,1880.60,703.20,0.00,0.00
"t280",0.00,11170.00,0.00,703.20,0.00,0.00
"t281",0.00,10285.90,0.00,703.20,0.00,0.00
"t282",0.00,10785.80,0.00,703.20,0.00,0.00
"t283",0.00,11170.00,68.10,703.20,0.00,0.00
"t284",0.00,11170.00,1069.20,703.20,0.00,0.00
"t285",0.00,11170.00,2670.50,703.20,0.00,0.00
"t286",0.00,11170.00,4223.40,703.20,0.00,0.00
"t287",0.00,11170.00,5435.80,703.20,0.00,0.00
"t288",0.00,11170.00,4617.00,703.20,0.00,0.00
"t289",0.00,11170.00,4059.80,703.20,0.00,0.00
"t290",0.00,11170.00,3727.00,703.20,0.00,0.00
"t291",0.00,11170.00,3406.00,703.20,0.00,0.00
"t292",0.00,11170.00,3270.00,703.20,0.00,0.00
"t293",0.00,11170.00,3804.80,703.20,0.00,0.00
