"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201810&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:05:18 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","RFO","JF","BIT"
"99 Islands",8011,8011,"--","--","--","--","--"
"Avalon Hydropower",473,473,"--","--","--","--","--"
"Bad Creek",-47527,-47527,"--","--","--","--","--"
"Bear Creek Dam",3582,3582,"--","--","--","--","--"
"Blewett",8506,8502,4,"--","--","--","--"
"Boyds Mill Hydro",412,412,"--","--","--","--","--"
"Bridgewater",11322,11322,"--","--","--","--","--"
"Buzzard Roost",4023,4023,0,0,"--","--","--"
"Cedar Cliff",2656,2656,"--","--","--","--","--"
"Cedar Creek",17139,17139,"--","--","--","--","--"
"Chatuge",3472,3472,"--","--","--","--","--"
"Cheoah",55405,55405,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",454,454,"--","--","--","--","--"
"Cowans Ford",29940,29940,"--","--","--","--","--"
"Dearborn",21372,21372,"--","--","--","--","--"
"Fairfield Pumped Storage",-18827,-18827,"--","--","--","--","--"
"Falls Hydro",15336,15336,"--","--","--","--","--"
"Fishing Creek",19585,19585,"--","--","--","--","--"
"Fontana Dam",110692,110692,"--","--","--","--","--"
"Franklin (NC)",358,358,"--","--","--","--","--"
"Gaston",87379,87379,"--","--","--","--","--"
"Gaston Shoals",1413,1413,"--","--","--","--","--"
"Great Falls (SC)",-9,-9,"--","--","--","--","--"
"Haw River Hydro",648,648,"--","--","--","--","--"
"High Rock Hydro",14685,14685,"--","--","--","--","--"
"High Shoals Hydro (NC)",0,0,"--","--","--","--","--"
"Hiwassee Dam",28856,28856,"--","--","--","--","--"
"Hollidays Bridge Hydro",1248,1248,"--","--","--","--","--"
"J Strom Thurmond",59181,59181,"--","--","--","--","--"
"Jefferies",20517,20517,0,"--",0,0,0
"Jocassee",3111,3111,"--","--","--","--","--"
"Jordan Hydroelectric Project",991,991,"--","--","--","--","--"
"Keowee",9442,9442,"--","--","--","--","--"
"Lake Lure",1013,1013,"--","--","--","--","--"
"Lockhart",8456,8456,"--","--","--","--","--"
"Lockville Hydropower",33,33,"--","--","--","--","--"
"Lookout Shoals",15675,15675,"--","--","--","--","--"
"Marshall Dam",78,78,"--","--","--","--","--"
"Metropolitan Sewerage District",899,899,"--","--","--","--","--"
"Mission",518,518,"--","--","--","--","--"
"Mountain Island",19963,19963,"--","--","--","--","--"
"Nantahala",25990,25990,"--","--","--","--","--"
"Narrows (NC)",57031,57031,"--","--","--","--","--"
"Neal Shoals",2517,2517,"--","--","--","--","--"
"Oxford Dam",10340,10340,"--","--","--","--","--"
"Parr Hydro",5197,5197,"--","--","--","--","--"
"Pelzer Lower",984,984,"--","--","--","--","--"
"Pelzer Upper",984,984,"--","--","--","--","--"
"Piedmont Hydro Power Project",623,623,"--","--","--","--","--"
"Queens Creek",445,445,"--","--","--","--","--"
"Rhodhiss",11477,11477,"--","--","--","--","--"
"Roanoke Rapids",36174,36174,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",590,589,1,"--","--","--","--"
"Saluda Dam",1061,1061,"--","--","--","--","--"
"Saluda Lexington",21369,21369,"--","--","--","--","--"
"Santeetlah",13740,13740,"--","--","--","--","--"
"Spartanburg Water System",186,185,1,"--","--","--","--"
"Spillway",1419,1419,"--","--","--","--","--"
"St Stephen",32077,32077,"--","--","--","--","--"
"Tennessee Creek",4629,4629,"--","--","--","--","--"
"Thorpe",9238,9238,"--","--","--","--","--"
"Tillery",22956,22956,"--","--","--","--","--"
"Tuckasegee",681,681,"--","--","--","--","--"
"Tuckertown Hydro",15818,15818,"--","--","--","--","--"
"Turner Shoals",1688,1688,"--","--","--","--","--"
"Tuxedo",3258,3258,"--","--","--","--","--"
"Upper Pacolet Hydro",470,470,"--","--","--","--","--"
"Walters",45973,45973,"--","--","--","--","--"
"Ware Shoals Hydro Project",713,713,"--","--","--","--","--"
"Wateree Hydro",32326,32326,"--","--","--","--","--"
"Wylie",16914,16914,"--","--","--","--","--"
