"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201807&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:04:33 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","BIT","RFO","JF"
"99 Islands",5051,5051,"--","--","--","--","--"
"Avalon Hydropower",225,225,"--","--","--","--","--"
"Bad Creek",-67277,-67277,"--","--","--","--","--"
"Bear Creek Dam",2259,2259,"--","--","--","--","--"
"Blewett",5366,5360,6,"--","--","--","--"
"Boyds Mill Hydro",260,260,"--","--","--","--","--"
"Bridgewater",7138,7138,"--","--","--","--","--"
"Buzzard Roost",2537,2537,0,0,"--","--","--"
"Cedar Cliff",1675,1675,"--","--","--","--","--"
"Cedar Creek",10807,10807,"--","--","--","--","--"
"Chatuge",2189,2189,"--","--","--","--","--"
"Cheoah",34934,34934,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",286,286,"--","--","--","--","--"
"Cowans Ford",18878,18878,"--","--","--","--","--"
"Dearborn",13475,13475,"--","--","--","--","--"
"Fairfield Pumped Storage",-21740,-21740,"--","--","--","--","--"
"Falls Hydro",9670,9670,"--","--","--","--","--"
"Fishing Creek",12349,12349,"--","--","--","--","--"
"Fontana Dam",69793,69793,"--","--","--","--","--"
"Franklin (NC)",226,226,"--","--","--","--","--"
"Gaston",13586,13586,"--","--","--","--","--"
"Gaston Shoals",891,891,"--","--","--","--","--"
"Great Falls (SC)",-6,-6,"--","--","--","--","--"
"Haw River Hydro",409,409,"--","--","--","--","--"
"High Rock Hydro",9259,9259,"--","--","--","--","--"
"High Shoals Hydro (NC)",123,123,"--","--","--","--","--"
"Hiwassee Dam",26484,26484,"--","--","--","--","--"
"Hollidays Bridge Hydro",787,787,"--","--","--","--","--"
"J Strom Thurmond",37315,37315,"--","--","--","--","--"
"Jefferies",12936,12936,0,"--",0,0,0
"Jocassee",-24486,-24486,"--","--","--","--","--"
"Jordan Hydroelectric Project",625,625,"--","--","--","--","--"
"Keowee",5953,5953,"--","--","--","--","--"
"Lake Lure",639,639,"--","--","--","--","--"
"Lockhart",5332,5332,"--","--","--","--","--"
"Lockville Hydropower",21,21,"--","--","--","--","--"
"Lookout Shoals",9883,9883,"--","--","--","--","--"
"Marshall Dam",49,49,"--","--","--","--","--"
"Metropolitan Sewerage District",301,301,"--","--","--","--","--"
"Mission",327,327,"--","--","--","--","--"
"Mountain Island",12587,12587,"--","--","--","--","--"
"Nantahala",16387,16387,"--","--","--","--","--"
"Narrows (NC)",35959,35959,"--","--","--","--","--"
"Neal Shoals",1587,1587,"--","--","--","--","--"
"Oxford Dam",6520,6520,"--","--","--","--","--"
"Parr Hydro",3277,3277,"--","--","--","--","--"
"Pelzer Lower",620,620,"--","--","--","--","--"
"Pelzer Upper",620,620,"--","--","--","--","--"
"Piedmont Hydro Power Project",393,393,"--","--","--","--","--"
"Queens Creek",280,280,"--","--","--","--","--"
"Rhodhiss",7237,7237,"--","--","--","--","--"
"Roanoke Rapids",22808,22808,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",373,371,1,"--","--","--","--"
"Saluda Dam",669,669,"--","--","--","--","--"
"Saluda Lexington",13474,13474,"--","--","--","--","--"
"Santeetlah",8663,8663,"--","--","--","--","--"
"Spartanburg Water System",110,84,26,"--","--","--","--"
"Spillway",895,895,"--","--","--","--","--"
"St Stephen",20225,20225,"--","--","--","--","--"
"Tennessee Creek",2918,2918,"--","--","--","--","--"
"Thorpe",5825,5825,"--","--","--","--","--"
"Tillery",14474,14474,"--","--","--","--","--"
"Tuckasegee",429,429,"--","--","--","--","--"
"Tuckertown Hydro",9974,9974,"--","--","--","--","--"
"Turner Shoals",1375,1375,"--","--","--","--","--"
"Tuxedo",2054,2054,"--","--","--","--","--"
"Upper Pacolet Hydro",296,296,"--","--","--","--","--"
"Walters",28987,28987,"--","--","--","--","--"
"Ware Shoals Hydro Project",1373,1373,"--","--","--","--","--"
"Wateree Hydro",20382,20382,"--","--","--","--","--"
"Wylie",10665,10665,"--","--","--","--","--"
