"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201804&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:03:50 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","JF","BIT","RFO"
"99 Islands",7343,7343,"--","--","--","--","--"
"Avalon Hydropower",434,434,"--","--","--","--","--"
"Bad Creek",-1220,-1220,"--","--","--","--","--"
"Bear Creek Dam",3283,3283,"--","--","--","--","--"
"Blewett",7800,7793,6,"--","--","--","--"
"Boyds Mill Hydro",378,378,"--","--","--","--","--"
"Bridgewater",10378,10378,"--","--","--","--","--"
"Buzzard Roost",3688,3688,0,0,"--","--","--"
"Cedar Cliff",2435,2435,"--","--","--","--","--"
"Cedar Creek",15711,15711,"--","--","--","--","--"
"Chatuge",3182,3182,"--","--","--","--","--"
"Cheoah",50788,50788,"--","--","--","--","--"
"Cherokee Falls",614,614,"--","--","--","--","--"
"Clifton Dam 3 Power Station",416,416,"--","--","--","--","--"
"Cowans Ford",27445,27445,"--","--","--","--","--"
"Dearborn",19591,19591,"--","--","--","--","--"
"Fairfield Pumped Storage",-8592,-8592,"--","--","--","--","--"
"Falls Hydro",14058,14058,"--","--","--","--","--"
"Fishing Creek",17953,17953,"--","--","--","--","--"
"Fontana Dam",101468,101468,"--","--","--","--","--"
"Franklin (NC)",329,329,"--","--","--","--","--"
"Gaston",36345,36345,"--","--","--","--","--"
"Gaston Shoals",1295,1295,"--","--","--","--","--"
"Great Falls (SC)",-8,-8,"--","--","--","--","--"
"Haw River Hydro",594,594,"--","--","--","--","--"
"High Rock Hydro",13461,13461,"--","--","--","--","--"
"High Shoals Hydro (NC)",529,529,"--","--","--","--","--"
"Hiwassee Dam",2089,2089,"--","--","--","--","--"
"Hollidays Bridge Hydro",1144,1144,"--","--","--","--","--"
"J Strom Thurmond",54250,54250,"--","--","--","--","--"
"Jefferies",18807,18807,0,"--",0,0,0
"Jocassee",-17348,-17348,"--","--","--","--","--"
"Jordan Hydroelectric Project",909,909,"--","--","--","--","--"
"Keowee",8655,8655,"--","--","--","--","--"
"Lake Lure",928,928,"--","--","--","--","--"
"Lockhart",7752,7752,"--","--","--","--","--"
"Lockville Hydropower",30,30,"--","--","--","--","--"
"Lookout Shoals",14369,14369,"--","--","--","--","--"
"Marshall Dam",72,72,"--","--","--","--","--"
"Metropolitan Sewerage District",929,929,"--","--","--","--","--"
"Mission",475,475,"--","--","--","--","--"
"Mountain Island",18300,18300,"--","--","--","--","--"
"Nantahala",23824,23824,"--","--","--","--","--"
"Narrows (NC)",52278,52278,"--","--","--","--","--"
"Neal Shoals",2307,2307,"--","--","--","--","--"
"Oxford Dam",9478,9478,"--","--","--","--","--"
"Parr Hydro",4764,4764,"--","--","--","--","--"
"Pelzer Lower",902,902,"--","--","--","--","--"
"Pelzer Upper",902,902,"--","--","--","--","--"
"Piedmont Hydro Power Project",571,571,"--","--","--","--","--"
"Queens Creek",408,408,"--","--","--","--","--"
"Rhodhiss",10521,10521,"--","--","--","--","--"
"Roanoke Rapids",33160,33160,"--","--","--","--","--"
"Rocky Creek",-17,-17,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",542,540,1,"--","--","--","--"
"Saluda Dam",973,973,"--","--","--","--","--"
"Saluda Lexington",19589,19589,"--","--","--","--","--"
"Santeetlah",12595,12595,"--","--","--","--","--"
"Spartanburg Water System",256,256,0,"--","--","--","--"
"Spillway",1301,1301,"--","--","--","--","--"
"St Stephen",29404,29404,"--","--","--","--","--"
"Tennessee Creek",4243,4243,"--","--","--","--","--"
"Thorpe",8468,8468,"--","--","--","--","--"
"Tillery",21043,21043,"--","--","--","--","--"
"Tuckasegee",624,624,"--","--","--","--","--"
"Tuckertown Hydro",14500,14500,"--","--","--","--","--"
"Turner Shoals",1360,1360,"--","--","--","--","--"
"Tuxedo",2986,2986,"--","--","--","--","--"
"Upper Pacolet Hydro",431,431,"--","--","--","--","--"
"Walters",42142,42142,"--","--","--","--","--"
"Ware Shoals Hydro Project",1688,1688,"--","--","--","--","--"
"Wateree Hydro",29632,29632,"--","--","--","--","--"
"Wylie",15505,15505,"--","--","--","--","--"
